Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade
A T T CENTRO OESTE LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
A YOSHII ENGENHARIA E CONSTRUCOES LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
A. C. CAPELLO - ME,ND,ND,ND,ND,Sub-região 17,Londrina
ADAMA BRASIL S/A,ND,ND,ND,ND,Sub-região 17,Londrina
AGROPECUÁRIA SANTA FRANCISCA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
AGROPECUARIA SANTA MARIA DO CERNE LTDA.,ND,ND,ND,ND,Sub-região 17,Londrina
ALLOS LABORATÓRIO DE ANTIGENOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
ALLVET QUIMICA INDUSTRIA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
AMCOR FLEXIBLES DO BRASIL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA.,ND,ND,ND,ND,Sub-região 17,Londrina
AMCOR FLEXIBLES DO BRASIL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA.,ND,ND,ND,ND,Sub-região 17,Londrina
ANGELUS INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
ARAMES TOP INDUSTRIAL LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
ARCELORMITTAL BRASIL S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
ATT ARMAZENAGEM TRANSP TRANSBORDO L TDA,ND,ND,ND,ND,Sub-região 17,Londrina
B. PAVANI PLASTICOS - EIRELI EPP,ND,ND,ND,ND,Sub-região 17,Londrina
BARILONPLAST IND E COM DE EMBALAGENS PLASTICAS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
BATERMOL DISTRIBUIDORA PARANAENSE DE ACUMULADORES LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
BELAGRAOS INVESTIMENTOS E SERVICOS SS LT,ND,ND,ND,ND,Sub-região 17,Londrina
BERMOND INDUSTRIA DE VASSOURAS EIRELI,ND,ND,ND,ND,Sub-região 17,Londrina
BIOSERV PRODUTOS QUIMICOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
BONO & CONSTANTINO LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
BRASIL TRANSPORTES INTERMODAL LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
BRF S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
"BUSSADORI, GARCIA & CIA LTDA",ND,ND,ND,ND,Sub-região 17,Londrina
C A P - GESTAO DE RESIDUOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
CIMENTO RIO BRANCO S/A,ND,ND,ND,ND,Sub-região 17,Londrina
CIMPLAST EMBALAGENS IMPORTAÇÃO E EXPORTAÇÃO COMÉRCIO S.A.,ND,ND,ND,ND,Sub-região 17,Londrina
CMX CONSULTORIA E GESTAO DE PROJETOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 17,Londrina
COMAVES IND COM ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
COMERCIAL RIBALTA LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
COMFRIO SOLUCOES LOGISTICAS S/A,ND,ND,ND,ND,Sub-região 17,Londrina
COMPAGER LOG TRANSP ARMAZENS GERAIS LTDA,ND,ND,ND,ND,Sub-região 17,Londrina
COMPANHIA CACIQUE CAFE SOLUVEL,ND,ND,ND,ND,Sub-região 17,Londrina
